Transaction ID,Revenue ID,Sales Order ID,Membership ID,Transaction Date,Revenue Application Amount,Order Item Discount,Order Item Refund,Order Item Amount,Action,Purchased Membership Expiration Date,Purchased Membership Is Gift,Sales Method Type,Sales Order Status,Refund Status,Payment Method,Transaction Type,Inbound Channel,Expiration Date,Is Gift,Last Renewed,Member Since,Membership Level,Membership Level Type,Membership Program,Status,Purchased Membership Level,Purchased Membership Term Amount,Purchased Membership Term Sequence,Purchased Membership Term Length,Promo Amount,Promo Name,Number of Members,Membership Transaction\Revenue Application\Base currency ID,Membership Transaction\Membership Level Term\Base currency ID,Membership Transaction\Membership Promotion\Base currency ID,QUERYRECID
3232bf2b-2987-4120-b3b0-f8134eda4e16,,,66,4/1/1980,,,,,Join,11/30/1994,No,,,,,,,12/31/2013,No,3/21/2013,4/1/1980,Complimentary Membership,,MOHAI Membership,Lapsed,Benefactor,$500.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,27d24492-7eff-4ad7-aeac-96a371463f2a
c999a0e3-d1d6-4252-8668-c1985214f4f5,,,1116,6/1/1980,,,,,Join,6/1/1981,No,,,,,,,,No,,6/1/1980,Family (Old),,MOHAI Membership,Cancelled,Family (Old),$34.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,ef486fb8-2a76-4707-adb0-0796af2a0a63
27c8f0fe-3920-465b-b50e-d2d33aa8dfe2,,,1207,6/1/1980,,,,,Join,6/1/1981,No,,,,,,,,No,,6/1/1980,Individual (Old),,MOHAI Membership,Cancelled,Individual (Old),$25.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,e775b252-2b09-4590-8b05-610a082b6fb4
3ac5fb1f-d798-4d43-b368-f67097ae2c0c,,,1677,6/1/1980,,,,,Join,3/31/1995,No,,,,,,,,No,11/17/2007,6/1/1980,Individual (Old),Individual discount,MOHAI Membership,Cancelled,Individual (Old),$25.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,d6defb34-62a3-4330-b114-37ed968e8b4c
62fc88ad-9212-4a48-80a2-ba586f1dcf88,,,373,7/1/1980,,,,,Join,7/1/1981,No,,,,,,,,No,,7/1/1980,Family (Old),,MOHAI Membership,Cancelled,Family (Old),$34.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,e5bac7e0-8f26-4d58-9453-25b56b7c551a
1d96b2f9-63b9-4918-8aeb-85a83308798b,,,1014,9/1/1980,,,,,Join,5/18/1993,No,,,,,,,,No,6/1/1995 16:05,9/1/1980,Patron,,MOHAI Membership,Cancelled,Patron,$250.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,66160df0-325f-4e0d-941a-bf4d15fbef02
36317639-f46c-4e5c-9472-d603f3934f29,,,3784,11/1/1980,,,,,Join,11/1/1990,No,,,,,,,,No,,11/1/1980,Dual Senior,,MOHAI Membership,Cancelled,Dual Senior,$0.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,7d092411-30af-4b4d-8ff7-5880ed8a3118
fea685e3-c3b6-47b9-b4ed-1babd4610b31,,,3492,12/1/1980,,,,,Join,9/1/1990,No,,,,,,,,No,,12/1/1980,Individual Senior,,MOHAI Membership,Cancelled,Individual Senior,$0.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,25f48b39-cc2e-4da2-b8ff-e0a0e22df16d
5cd1a0ca-886b-46e3-8f9e-0f83b504a078,,,1023,2/1/1981,,,,,Join,1/12/1993,No,,,,,,,,No,9/1/1997,2/1/1981,Family (Old),,MOHAI Membership,Cancelled,Patron,$250.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,adfef2d1-1bba-472c-b1ee-255dbbe07940
581ecbad-5aa8-489a-a053-afa31c973ef5,,,2890,2/1/1981,,,,,Join,2/25/1993,No,,,,,,,,No,2/1/1996,2/1/1981,Corporate Partner,,MOHAI Membership,Cancelled,Corporate Partner,$0.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,ec4947a2-5379-4ecf-a9c5-ea315c4604ed
12c47df3-38e3-4763-9c3c-7c458ac74d50,,,3578,4/1/1981,,,,,Join,9/1/1989,No,,,,,,,,No,,4/1/1981,Dual Senior,,MOHAI Membership,Cancelled,Dual Senior,$0.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,ac71e1f0-aca0-42a6-b455-4b37bb11ebd7
672ac629-cecc-4c67-b41e-951bdf3be280,,,491,4/1/1981,,,,,Join,4/1/1989,No,,,,,,,,No,,4/1/1981,Individual (Old),,MOHAI Membership,Cancelled,Individual (Old),$25.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,8160dc70-6c7c-4102-83fd-8b3c9a89fa6a
394d92d3-6624-49ce-a0cb-b9649e449e5d,,,2823,4/1/1981,,,,,Join,4/1/1982,No,,,,,,,,No,,4/1/1981,Individual Senior,,MOHAI Membership,Cancelled,Individual Senior,$0.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,aa895824-6a4f-44e6-bf5c-7af5c829667f
1b2afd3d-5078-49a6-9728-00ba90e9d3fb,,,2872,8/1/1981,,,,,Join,8/1/1982,No,,,,,,,,No,,8/1/1981,Individual Senior,,MOHAI Membership,Cancelled,Individual Senior,$0.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,06a8cb69-01f1-4379-9ffb-5bd8f5cebc5a
bb3d3bfc-9c5c-4b50-bd5c-2162b4dc18b9,,,2484,9/1/1981,,,,,Join,9/1/1982,No,,,,,,,,No,,9/1/1981,Patron,,MOHAI Membership,Cancelled,Patron,$250.00 ,0,1 year(s),,,2,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,89913d06-24a5-4b54-9d19-444e1afa47bb
635c7683-da19-4573-ace2-48c3a0ae1a80,,,3415,9/1/1981,,,,,Join,9/1/1989,No,,,,,,,,No,,9/1/1981,Dual Senior,,MOHAI Membership,Cancelled,Dual Senior,$0.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,58f2af13-8c5e-4a57-8cfa-60d05f7677fa
bf8c9187-329c-42c1-b6f3-a576457b6752,,,3648,9/1/1981,,,,,Join,9/1/1990,No,,,,,,,,No,,9/1/1981,Dual Senior,,MOHAI Membership,Cancelled,Dual Senior,$0.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,f9af53f5-d100-4c42-b629-bf02e82f1cdc
fd2fff32-3a31-40c2-9cd2-38c7734a8510,,,3552,10/1/1981,,,,,Join,9/1/1990,No,,,,,,,,No,,10/1/1981,Individual Senior,,MOHAI Membership,Cancelled,Individual Senior,$0.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,01ee6c64-a871-4806-871d-d91e67786975
03c0c593-bc44-4e0d-92b2-a884b9be0084,,,1547,10/1/1981,,,,,Join,10/1/1990,No,,,,,,,,No,,10/1/1981,Individual Senior,,MOHAI Membership,Cancelled,Individual Senior,$0.00 ,0,1 year(s),,,1,,6abe6c7e-fedc-473d-abe8-505807c94e0e,,64191cbf-50b7-4d75-91fa-f7b0cf8292ba
